timestamp,id,data
0.000000,0x100,00 00 1E 00 00 00 00 00
0.000000,0x101,00 00 00 00 00 00 00 00
0.000000,0x102,00 00 00 00 00 00 00 00
0.000000,0x200,64 E8 03 00 00 00 00 00
0.020000,0x100,01 00 1E 00 00 00 00 00
0.020000,0x101,00 00 00 00 00 00 00 00
0.020000,0x102,00 00 00 00 00 00 00 00
0.020000,0x200,64 EC 03 00 00 00 00 00
0.040000,0x100,02 00 1E 00 00 00 00 00
0.040000,0x101,00 00 00 00 00 00 00 00
0.040000,0x102,00 00 00 00 00 00 00 00
0.040000,0x200,64 F0 03 00 00 00 00 00
0.060000,0x100,02 00 1E 00 00 00 00 00
0.060000,0x101,00 00 00 00 00 00 00 00
0.060000,0x102,00 00 00 00 00 00 00 00
0.060000,0x200,64 F4 03 00 00 00 00 00
0.080000,0x100,03 00 1E 00 00 00 00 00
0.080000,0x101,00 00 00 00 00 00 00 00
0.080000,0x102,00 00 00 00 00 00 00 00
0.080000,0x200,64 F8 03 00 00 00 00 00
0.100000,0x100,04 00 1E 00 00 00 00 00
0.100000,0x101,00 00 00 00 00 00 00 00
0.100000,0x102,00 00 00 00 00 00 00 00
0.100000,0x200,64 FC 03 00 00 00 00 00
0.120000,0x100,05 00 1E 00 00 00 00 00
0.120000,0x101,00 00 00 00 00 00 00 00
0.120000,0x102,00 00 00 00 00 00 00 00
0.120000,0x200,64 00 04 00 00 00 00 00
0.140000,0x100,06 00 1E 00 00 00 00 00
0.140000,0x101,00 00 00 00 00 00 00 00
0.140000,0x102,00 00 00 00 00 00 00 00
0.140000,0x200,65 04 04 00 00 00 00 00
0.160000,0x100,06 00 1E 00 00 00 00 00
0.160000,0x101,00 00 00 00 00 00 00 00
0.160000,0x102,00 00 00 00 00 00 00 00
0.160000,0x200,65 08 04 00 00 00 00 00
0.180000,0x100,07 00 1E 00 00 00 00 00
0.180000,0x101,00 00 00 00 00 00 00 00
0.180000,0x102,00 00 00 00 00 00 00 00
0.180000,0x200,65 0C 04 00 00 00 00 00
0.200000,0x100,08 00 1E 00 00 00 00 00
0.200000,0x101,00 00 00 00 00 00 00 00
0.200000,0x102,00 00 00 00 00 00 00 00
0.200000,0x200,65 10 04 00 00 00 00 00
0.220000,0x100,09 00 1E 00 00 00 00 00
0.220000,0x101,00 00 00 00 00 00 00 00
0.220000,0x102,00 00 00 00 00 00 00 00
0.220000,0x200,65 14 04 00 00 00 00 00
0.240000,0x100,0A 00 1E 00 00 00 00 00
0.240000,0x101,00 00 00 00 00 00 00 00
0.240000,0x102,00 00 00 00 00 00 00 00
0.240000,0x200,65 18 04 00 00 00 00 00
0.260000,0x100,0A 00 1E 00 00 00 00 00
0.260000,0x101,00 00 00 00 00 00 00 00
0.260000,0x102,00 00 00 00 00 00 00 00
0.260000,0x200,65 1C 04 00 00 00 00 00
0.280000,0x100,0B 00 1E 00 00 00 00 00
0.280000,0x101,00 00 00 00 00 00 00 00
0.280000,0x102,00 00 00 00 00 00 00 00
0.280000,0x200,65 20 04 00 00 00 00 00
0.300000,0x100,0C 00 1E 00 00 00 00 00
0.300000,0x101,00 00 00 00 00 00 00 00
0.300000,0x102,00 00 00 00 00 00 00 00
0.300000,0x200,65 24 04 00 00 00 00 00
0.320000,0x100,0D 00 1E 00 00 00 00 00
0.320000,0x101,00 00 00 00 00 00 00 00
0.320000,0x102,00 00 00 00 00 00 00 00
0.320000,0x200,65 28 04 00 00 00 00 00
0.340000,0x100,0E 00 1E 00 00 00 00 00
0.340000,0x101,00 00 00 00 00 00 00 00
0.340000,0x102,00 00 00 00 00 00 00 00
0.340000,0x200,65 2C 04 00 00 00 00 00
0.360000,0x100,0E 00 1E 00 00 00 00 00
0.360000,0x101,00 00 00 00 00 00 00 00
0.360000,0x102,00 00 00 00 00 00 00 00
0.360000,0x200,65 30 04 00 00 00 00 00
0.380000,0x100,0F 00 1E 00 00 00 00 00
0.380000,0x101,00 00 00 00 00 00 00 00
0.380000,0x102,00 00 00 00 00 00 00 00
0.380000,0x200,65 34 04 00 00 00 00 00
0.400000,0x100,10 00 1E 00 00 00 00 00
0.400000,0x101,00 00 00 00 00 00 00 00
0.400000,0x102,00 00 00 00 00 00 00 00
0.400000,0x200,65 38 04 00 00 00 00 00
0.420000,0x100,11 00 1E 00 00 00 00 00
0.420000,0x101,00 00 00 00 00 00 00 00
0.420000,0x102,00 00 00 00 00 00 00 00
0.420000,0x200,66 3C 04 00 00 00 00 00
0.440000,0x100,12 00 1E 00 00 00 00 00
0.440000,0x101,00 00 00 00 00 00 00 00
0.440000,0x102,00 00 00 00 00 00 00 00
0.440000,0x200,66 40 04 00 00 00 00 00
0.460000,0x100,12 00 1E 00 00 00 00 00
0.460000,0x101,00 00 00 00 00 00 00 00
0.460000,0x102,00 00 00 00 00 00 00 00
0.460000,0x200,66 44 04 00 00 00 00 00
0.480000,0x100,13 00 1E 00 00 00 00 00
0.480000,0x101,00 00 00 00 00 00 00 00
0.480000,0x102,00 00 00 00 00 00 00 00
0.480000,0x200,66 48 04 00 00 00 00 00
0.500000,0x100,14 00 1E 00 00 00 00 00
0.500000,0x101,00 00 00 00 00 00 00 00
0.500000,0x102,00 00 00 00 00 00 00 00
0.500000,0x200,66 4C 04 00 00 00 00 00
0.520000,0x100,15 00 1E 00 00 00 00 00
0.520000,0x101,00 00 00 00 00 00 00 00
0.520000,0x102,00 00 00 00 00 00 00 00
0.520000,0x200,66 50 04 00 00 00 00 00
0.540000,0x100,16 00 1E 00 00 00 00 00
0.540000,0x101,00 00 00 00 00 00 00 00
0.540000,0x102,00 00 00 00 00 00 00 00
0.540000,0x200,66 54 04 00 00 00 00 00
0.560000,0x100,16 00 1E 00 00 00 00 00
0.560000,0x101,00 00 00 00 00 00 00 00
0.560000,0x102,00 00 00 00 00 00 00 00
0.560000,0x200,66 58 04 00 00 00 00 00
0.580000,0x100,17 00 1E 00 00 00 00 00
0.580000,0x101,00 00 00 00 00 00 00 00
0.580000,0x102,00 00 00 00 00 00 00 00
0.580000,0x200,66 5C 04 00 00 00 00 00
0.600000,0x100,18 00 1E 00 00 00 00 00
0.600000,0x101,00 00 00 00 00 00 00 00
0.600000,0x102,00 00 00 00 00 00 00 00
0.600000,0x200,66 60 04 00 00 00 00 00
0.620000,0x100,19 00 1E 00 00 00 00 00
0.620000,0x101,00 00 00 00 00 00 00 00
0.620000,0x102,00 00 00 00 00 00 00 00
0.620000,0x200,66 64 04 00 00 00 00 00
0.640000,0x100,1A 00 1E 00 00 00 00 00
0.640000,0x101,00 00 00 00 00 00 00 00
0.640000,0x102,00 00 00 00 00 00 00 00
0.640000,0x200,66 68 04 00 00 00 00 00
0.660000,0x100,1A 00 1E 00 00 00 00 00
0.660000,0x101,00 00 00 00 00 00 00 00
0.660000,0x102,00 00 00 00 00 00 00 00
0.660000,0x200,66 6C 04 00 00 00 00 00
0.680000,0x100,1B 00 1E 00 00 00 00 00
0.680000,0x101,00 00 00 00 00 00 00 00
0.680000,0x102,00 00 00 00 00 00 00 00
0.680000,0x200,66 70 04 00 00 00 00 00
0.700000,0x100,1C 00 1E 00 00 00 00 00
0.700000,0x101,00 00 00 00 00 00 00 00
0.700000,0x102,00 00 00 00 00 00 00 00
0.700000,0x200,67 74 04 00 00 00 00 00
0.720000,0x100,1D 00 1E 00 00 00 00 00
0.720000,0x101,00 00 00 00 00 00 00 00
0.720000,0x102,00 00 00 00 00 00 00 00
0.720000,0x200,67 78 04 00 00 00 00 00
0.740000,0x100,1E 00 1E 00 00 00 00 00
0.740000,0x101,00 00 00 00 00 00 00 00
0.740000,0x102,00 00 00 00 00 00 00 00
0.740000,0x200,67 7C 04 00 00 00 00 00
0.760000,0x100,1E 00 1E 00 00 00 00 00
0.760000,0x101,00 00 00 00 00 00 00 00
0.760000,0x102,00 00 00 00 00 00 00 00
0.760000,0x200,67 80 04 00 00 00 00 00
0.780000,0x100,1F 00 1E 00 00 00 00 00
0.780000,0x101,00 00 00 00 00 00 00 00
0.780000,0x102,00 00 00 00 00 00 00 00
0.780000,0x200,67 84 04 00 00 00 00 00
0.800000,0x100,20 00 1E 00 00 00 00 00
0.800000,0x101,00 00 00 00 00 00 00 00
0.800000,0x102,00 00 00 00 00 00 00 00
0.800000,0x200,67 88 04 00 00 00 00 00
0.820000,0x100,21 00 1E 00 00 00 00 00
0.820000,0x101,00 00 00 00 00 00 00 00
0.820000,0x102,00 00 00 00 00 00 00 00
0.820000,0x200,67 8C 04 00 00 00 00 00
0.840000,0x100,22 00 1E 00 00 00 00 00
0.840000,0x101,00 00 00 00 00 00 00 00
0.840000,0x102,00 00 00 00 00 00 00 00
0.840000,0x200,67 90 04 00 00 00 00 00
0.860000,0x100,22 00 1E 00 00 00 00 00
0.860000,0x101,00 00 00 00 00 00 00 00
0.860000,0x102,00 00 00 00 00 00 00 00
0.860000,0x200,67 94 04 00 00 00 00 00
0.880000,0x100,23 00 1E 00 00 00 00 00
0.880000,0x101,00 00 00 00 00 00 00 00
0.880000,0x102,00 00 00 00 00 00 00 00
0.880000,0x200,67 98 04 00 00 00 00 00
0.900000,0x100,24 00 1E 00 00 00 00 00
0.900000,0x101,00 00 00 00 00 00 00 00
0.900000,0x102,00 00 00 00 00 00 00 00
0.900000,0x200,67 9C 04 00 00 00 00 00
0.920000,0x100,25 00 1E 00 00 00 00 00
0.920000,0x101,00 00 00 00 00 00 00 00
0.920000,0x102,00 00 00 00 00 00 00 00
0.920000,0x200,67 A0 04 00 00 00 00 00
0.940000,0x100,26 00 1E 00 00 00 00 00
0.940000,0x101,00 00 00 00 00 00 00 00
0.940000,0x102,00 00 00 00 00 00 00 00
0.940000,0x200,67 A4 04 00 00 00 00 00
0.960000,0x100,26 00 1E 00 00 00 00 00
0.960000,0x101,00 00 00 00 00 00 00 00
0.960000,0x102,00 00 00 00 00 00 00 00
